1,5,FC Koeln,1,Stuttgart,1,Mercedes-Benz-Arena,24-10-2020,01:30 24/10
159,11,Hoffenheim,0,Leverkusen,0,BayArena,14-12-2020,00:00 14/12
160,23,Berlin,0,Wolfsburg,0,Volkswagen Arena,27-02-2021,21:30 27/02
161,18,Bremen,0,Berlin,0,Olympiastadion Berlin,23-01-2021,21:30 23/01
162,19,Gladbach,0,Union Berlin,0,,30-01-2021,21:30 30/01
163,20,FC Koeln,0,Gladbach,0,Borussia-Park,6/2/2021,6/2/2020 21:30
164,21,Hoffenheim,0,Dortmund,0,Signal-Iduna-Park,13-02-2021,21:30 13/02
165,21,Arminia Bielefeld,0,Munich,0,Allianz Arena,13-02-2021,21:30 13/02
166,15,Dortmund,0,Leipzig,0,Red Bull Arena,10/1/2021,10/1/2020 0:30
167,12,Hoffenheim,0,Gladbach,0,Borussia-Park,5/12/2020,5/12/2020 21:30
168,17,Bremen,0,Gladbach,0,Borussia-Park,20-01-2021,21:30 20/01
169,13,Berlin,0,Freiburg,0,,20-12-2020,21:30 20/12
170,22,Stuttgart,0,FC Koeln,0,,20-02-2021,21:30 20/02
171,22,Munich,0,E.Frankfurt,0,Commerzbank-Arena,20-02-2021,21:30 20/02
172,24,Mainz 05,0,Schalke 04,0,Veltins-Arena,6/3/2021,6/3/2020 21:30
173,24,Wolfsburg,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,6/3/2021,6/3/2020 21:30
174,10,Stuttgart,0,Bremen,0,Weserstadion,6/12/2020,6/12/2020 21:30
175,23,E.Frankfurt,0,Bremen,0,Weserstadion,27-02-2021,21:30 27/02
176,18,Stuttgart,0,Freiburg,0,,23-01-2021,21:30 23/01
177,19,Leverkusen,0,Leipzig,0,Red Bull Arena,30-01-2021,21:30 30/01
178,20,Stuttgart,0,Leverkusen,0,BayArena,6/2/2021,6/2/2020 21:30
179,20,Wolfsburg,0,Augsburg,0,Augsburg Arena,6/2/2021,6/2/2020 21:30
180,21,Mainz 05,0,Leverkusen,0,BayArena,13-02-2021,21:30 13/02
181,15,Stuttgart,0,Augsburg,0,Augsburg Arena,10/1/2021,10/1/2020 21:30
182,12,Munich,0,Leverkusen,0,BayArena,5/12/2020,5/12/2020 21:30
183,17,Dortmund,0,Leverkusen,0,BayArena,20-01-2021,21:30 20/01
184,17,Munich,0,Augsburg,0,Augsburg Arena,20-01-2021,21:30 20/01
185,13,Stuttgart,0,Wolfsburg,0,Volkswagen Arena,21-12-2020,00:00 21/12
186,22,Mainz 05,0,Gladbach,0,Borussia-Park,20-02-2021,21:30 20/02
187,24,Augsburg,0,Berlin,0,Olympiastadion Berlin,6/3/2021,6/3/2020 21:30
188,24,Leipzig,0,Freiburg,0,,6/3/2021,6/3/2020 21:30
189,10,Leverkusen,0,Schalke 04,0,Veltins-Arena,7/12/2020,7/12/2020 0:00
190,25,Schalke 04,0,Wolfsburg,0,Volkswagen Arena,13-03-2021,21:30 13/03
191,23,Schalke 04,0,Stuttgart,0,Mercedes-Benz-Arena,27-02-2021,21:30 27/02
192,18,Dortmund,0,Gladbach,0,Borussia-Park,23-01-2021,21:30 23/01
193,19,Arminia Bielefeld,0,FC Koeln,0,,30-01-2021,21:30 30/01
194,19,Berlin,0,E.Frankfurt,0,Commerzbank-Arena,30-01-2021,21:30 30/01
195,20,Bremen,0,Arminia Bielefeld,0,,6/2/2021,6/2/2020 21:30
196,15,Berlin,0,Arminia Bielefeld,0,,11/1/2021,11/1/2020 0:00
197,12,E.Frankfurt,0,Augsburg,0,Augsburg Arena,5/12/2020,5/12/2020 21:30
198,17,Stuttgart,0,Arminia Bielefeld,0,,20-01-2021,21:30 20/01
199,22,Leverkusen,0,Augsburg,0,Augsburg Arena,20-02-2021,21:30 20/02
200,24,Bremen,0,FC Koeln,0,,6/3/2021,6/3/2020 21:30
201,10,Augsburg,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,8/12/2020,8/12/2020 2:30
202,26,Wolfsburg,0,Bremen,0,Weserstadion,20-03-2021,21:30 20/03
203,26,Gladbach,0,Schalke 04,0,Veltins-Arena,20-03-2021,21:30 20/03
204,25,Munich,0,Bremen,0,Weserstadion,13-03-2021,21:30 13/03
205,25,Hoffenheim,0,Stuttgart,0,Mercedes-Benz-Arena,13-03-2021,21:30 13/03
206,23,Hoffenheim,0,Union Berlin,0,,27-02-2021,21:30 27/02
207,18,Wolfsburg,0,Leverkusen,0,BayArena,23-01-2021,21:30 23/01
208,18,Union Berlin,0,Augsburg,0,Augsburg Arena,23-01-2021,21:30 23/01
209,19,Augsburg,0,Dortmund,0,Signal-Iduna-Park,30-01-2021,21:30 30/01
210,19,Hoffenheim,0,Munich,0,Allianz Arena,30-01-2021,21:30 30/01
211,12,Gladbach,0,E.Frankfurt,0,Commerzbank-Arena,16-12-2020,00:30 16/12
212,12,Dortmund,0,Bremen,0,Weserstadion,16-12-2020,02:30 16/12
213,22,Wolfsburg,0,Arminia Bielefeld,0,,20-02-2021,21:30 20/02
214,24,Stuttgart,0,E.Frankfurt,0,Commerzbank-Arena,6/3/2021,6/3/2020 21:30
215,26,Mainz 05,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,20-03-2021,21:30 20/03
216,27,FC Koeln,0,Wolfsburg,0,Volkswagen Arena,3/4/2021,3/4/2020 20:30
217,25,FC Koeln,0,Union Berlin,0,,13-03-2021,21:30 13/03
218,25,E.Frankfurt,0,Leipzig,0,Red Bull Arena,13-03-2021,21:30 13/03
219,23,Gladbach,0,Leipzig,0,Red Bull Arena,27-02-2021,21:30 27/02
220,18,E.Frankfurt,0,Arminia Bielefeld,0,,23-01-2021,21:30 23/01
221,12,Union Berlin,0,Stuttgart,0,Mercedes-Benz-Arena,16-12-2020,02:30 16/12
222,24,Leverkusen,0,Gladbach,0,Borussia-Park,6/3/2021,6/3/2020 21:30
223,26,Leverkusen,0,Berlin,0,Olympiastadion Berlin,20-03-2021,21:30 20/03
224,27,Bremen,0,Stuttgart,0,Mercedes-Benz-Arena,3/4/2021,3/4/2020 20:30
225,28,Leipzig,0,Bremen,0,Weserstadion,10/4/2021,10/4/2020 20:30
226,25,Freiburg,0,Mainz 05,0,Coface Arena,13-03-2021,21:30 13/03
227,25,Berlin,0,Dortmund,0,Signal-Iduna-Park,13-03-2021,21:30 13/03
228,23,Augsburg,0,Mainz 05,0,Coface Arena,27-02-2021,21:30 27/02
229,12,Mainz 05,0,Berlin,0,Olympiastadion Berlin,16-12-2020,02:30 16/12
230,24,Dortmund,0,Munich,0,Allianz Arena,6/3/2021,6/3/2020 21:30
231,24,Union Berlin,0,Arminia Bielefeld,0,,6/3/2021,6/3/2020 21:30
232,26,Augsburg,0,Freiburg,0,,20-03-2021,21:30 20/03
233,27,Berlin,0,Union Berlin,0,,3/4/2021,3/4/2020 20:30
234,28,Dortmund,0,Stuttgart,0,Mercedes-Benz-Arena,10/4/2021,10/4/2020 20:30
235,29,Munich,0,Wolfsburg,0,Volkswagen Arena,17-04-2021,20:30 17/04
236,25,Arminia Bielefeld,0,Leverkusen,0,BayArena,13-03-2021,21:30 13/03
237,23,Arminia Bielefeld,0,Dortmund,0,Signal-Iduna-Park,27-02-2021,21:30 27/02
238,12,Freiburg,0,Schalke 04,0,Veltins-Arena,17-12-2020,00:30 17/12
239,12,Leipzig,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,17-12-2020,02:30 17/12
240,26,Dortmund,0,FC Koeln,0,,20-03-2021,21:30 20/03
241,26,Union Berlin,0,E.Frankfurt,0,Commerzbank-Arena,20-03-2021,21:30 20/03
242,27,Munich,0,Leipzig,0,Red Bull Arena,3/4/2021,3/4/2020 20:30
243,30,Mainz 05,0,Bremen,0,Weserstadion,21-04-2021,20:30 21/04
244,28,Augsburg,0,Schalke 04,0,Veltins-Arena,10/4/2021,10/4/2020 20:30
245,29,Stuttgart,0,Union Berlin,0,,17-04-2021,20:30 17/04
246,25,Gladbach,0,Augsburg,0,Augsburg Arena,13-03-2021,21:30 13/03
247,23,FC Koeln,0,Munich,0,Allianz Arena,27-02-2021,21:30 27/02
248,12,Leverkusen,0,FC Koeln,0,,17-12-2020,02:30 17/12
249,12,Wolfsburg,0,Munich,0,Allianz Arena,17-12-2020,02:30 17/12
250,26,Stuttgart,0,Munich,0,Allianz Arena,20-03-2021,21:30 20/03
251,31,Dortmund,0,Wolfsburg,0,Volkswagen Arena,24-04-2021,20:30 24/04
252,27,Arminia Bielefeld,0,Mainz 05,0,Coface Arena,3/4/2021,3/4/2020 20:30
253,27,Freiburg,0,Gladbach,0,Borussia-Park,3/4/2021,3/4/2020 20:30
254,30,Wolfsburg,0,Stuttgart,0,Mercedes-Benz-Arena,21-04-2021,20:30 21/04
255,28,Leverkusen,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,10/4/2021,10/4/2020 20:30
256,29,Hoffenheim,0,Leipzig,0,Red Bull Arena,17-04-2021,20:30 17/04
257,29,Berlin,0,Mainz 05,0,Coface Arena,17-04-2021,20:30 17/04
258,23,Freiburg,0,Leverkusen,0,BayArena,27-02-2021,21:30 27/02
259,12,Augsburg,0,Arminia Bielefeld,0,,17-12-2020,02:30 17/12
260,26,Leipzig,0,Arminia Bielefeld,0,,20-03-2021,21:30 20/03
261,31,Bremen,0,Union Berlin,0,,24-04-2021,20:30 24/04
262,27,E.Frankfurt,0,Dortmund,0,Signal-Iduna-Park,3/4/2021,3/4/2020 20:30
263,27,Schalke 04,0,Leverkusen,0,BayArena,3/4/2021,3/4/2020 20:30
264,32,Union Berlin,0,Wolfsburg,0,Volkswagen Arena,8/5/2021,8/5/2020 20:30
265,30,Gladbach,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,21-04-2021,20:30 21/04
266,28,Gladbach,0,Berlin,0,Olympiastadion Berlin,10/4/2021,10/4/2020 20:30
267,28,Mainz 05,0,FC Koeln,0,,10/4/2021,10/4/2020 20:30
268,29,Schalke 04,0,Freiburg,0,,17-04-2021,20:30 17/04
269,31,Berlin,0,Schalke 04,0,Veltins-Arena,24-04-2021,20:30 24/04
270,27,Hoffenheim,0,Augsburg,0,Augsburg Arena,3/4/2021,3/4/2020 20:30
271,33,E.Frankfurt,0,Schalke 04,0,Veltins-Arena,15-05-2021,20:30 15/05
272,32,Leverkusen,0,Bremen,0,Weserstadion,8/5/2021,8/5/2020 20:30
273,30,Freiburg,0,Berlin,0,Olympiastadion Berlin,21-04-2021,20:30 21/04
274,30,Leipzig,0,FC Koeln,0,,21-04-2021,20:30 21/04
275,28,Wolfsburg,0,E.Frankfurt,0,Commerzbank-Arena,10/4/2021,10/4/2020 20:30
276,28,Union Berlin,0,Munich,0,Allianz Arena,10/4/2021,10/4/2020 20:30
277,29,E.Frankfurt,0,Gladbach,0,Borussia-Park,17-04-2021,20:30 17/04
278,29,Bremen,0,Dortmund,0,Signal-Iduna-Park,17-04-2021,20:30 17/04
279,31,Stuttgart,0,Leipzig,0,Red Bull Arena,24-04-2021,20:30 24/04
280,34,Mainz 05,0,Wolfsburg,0,Volkswagen Arena,22-05-2021,20:30 22/05
281,34,Gladbach,0,Bremen,0,Weserstadion,22-05-2021,20:30 22/05
282,33,Wolfsburg,0,Leipzig,0,Red Bull Arena,15-05-2021,20:30 15/05
283,32,Augsburg,0,Stuttgart,0,Mercedes-Benz-Arena,8/5/2021,8/5/2020 20:30
284,30,Augsburg,0,E.Frankfurt,0,Commerzbank-Arena,21-04-2021,20:30 21/04
285,28,Freiburg,0,Arminia Bielefeld,0,,10/4/2021,10/4/2020 20:30
286,29,FC Koeln,0,Leverkusen,0,BayArena,17-04-2021,20:30 17/04
287,31,Munich,0,Mainz 05,0,Coface Arena,24-04-2021,20:30 24/04
288,34,Arminia Bielefeld,0,Stuttgart,0,Mercedes-Benz-Arena,22-05-2021,20:30 22/05
289,34,Leipzig,0,Union Berlin,0,,22-05-2021,20:30 22/05
290,33,Dortmund,0,Mainz 05,0,Coface Arena,15-05-2021,20:30 15/05
291,32,Schalke 04,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,8/5/2021,8/5/2020 20:30
292,32,Arminia Bielefeld,0,Berlin,0,Olympiastadion Berlin,8/5/2021,8/5/2020 20:30
293,30,Union Berlin,0,Dortmund,0,Signal-Iduna-Park,21-04-2021,20:30 21/04
294,29,Arminia Bielefeld,0,Augsburg,0,Augsburg Arena,17-04-2021,20:30 17/04
295,31,Hoffenheim,0,Freiburg,0,,24-04-2021,20:30 24/04
296,34,Berlin,0,Hoffenheim,0,WIRSOL Rhein-Neckar-Arena,22-05-2021,20:30 22/05
297,33,FC Koeln,0,Berlin,0,Olympiastadion Berlin,15-05-2021,20:30 15/05
298,32,Freiburg,0,FC Koeln,0,,8/5/2021,8/5/2020 20:30
299,30,Leverkusen,0,Munich,0,Allianz Arena,21-04-2021,20:30 21/04
300,31,Arminia Bielefeld,0,Gladbach,0,Borussia-Park,24-04-2021,20:30 24/04
301,34,Schalke 04,0,FC Koeln,0,,22-05-2021,20:30 22/05
302,34,Freiburg,0,E.Frankfurt,0,Commerzbank-Arena,22-05-2021,20:30 22/05
303,33,Munich,0,Freiburg,0,,15-05-2021,20:30 15/05
304,33,Stuttgart,0,Gladbach,0,Borussia-Park,15-05-2021,20:30 15/05
305,32,Mainz 05,0,E.Frankfurt,0,Commerzbank-Arena,8/5/2021,8/5/2020 20:30
306,30,Schalke 04,0,Arminia Bielefeld,0,,21-04-2021,20:30 21/04
307,31,E.Frankfurt,0,Leverkusen,0,BayArena,24-04-2021,20:30 24/04
308,34,Leverkusen,0,Dortmund,0,Signal-Iduna-Park,22-05-2021,20:30 22/05
309,33,Union Berlin,0,Leverkusen,0,BayArena,15-05-2021,20:30 15/05
310,33,Bremen,0,Augsburg,0,Augsburg Arena,15-05-2021,20:30 15/05
311,32,Leipzig,0,Dortmund,0,Signal-Iduna-Park,8/5/2021,8/5/2020 20:30
312,32,Gladbach,0,Munich,0,Allianz Arena,8/5/2021,8/5/2020 20:30
313,31,FC Koeln,0,Augsburg,0,Augsburg Arena,24-04-2021,20:30 24/04
314,34,Augsburg,0,Munich,0,Allianz Arena,22-05-2021,20:30 22/05
315,33,Hoffenheim,0,Arminia Bielefeld,0,,15-05-2021,20:30 15/05
